,date,PSQ,MixHgt,10xKz,U*,Zo,Zterr,Kh,10mWSPD,DSWF,SFCP,RH2m,T02m,Density,Cld,u10m,v10m,WDIR,latitude,longitude,met
0,2021-07-17 00:00:00,D,203.6,279.2,0.2194,0.2,13.88,1077.0,1.064,46.21,1015.0,0.0,303.6,1.152,-100.0,0.7556,0.7492,225.2,40.7,-73.93,AWRF
1,2021-07-17 01:00:00,D,109.6,123.3,0.1511,0.2,13.88,301.9,0.602,0.0,1015.0,0.0,302.9,1.154,-100.0,0.5142,0.3131,238.7,40.7,-73.93,AWRF
2,2021-07-17 02:00:00,D,91.29,115.7,0.1322,0.2,13.88,274.0,0.5782,0.0,1015.0,0.0,302.0,1.157,-100.0,0.2751,0.5086,208.4,40.7,-73.93,AWRF
3,2021-07-17 03:00:00,D,70.05,127.8,0.1346,0.2,13.89,298.3,0.6292,0.0,1015.0,0.0,301.0,1.161,-100.0,0.107,0.6201,189.8,40.7,-73.93,AWRF
4,2021-07-17 04:00:00,D,70.67,111.2,0.1298,0.2,13.88,208.8,0.5446,0.0,1015.0,0.0,300.4,1.163,-100.0,0.331,0.4325,217.4,40.7,-73.93,AWRF
5,2021-07-17 05:00:00,D,71.28,127.8,0.1469,0.2,13.86,234.9,0.7537,0.0,1015.0,0.0,299.9,1.165,-100.0,0.7314,0.1818,256.0,40.7,-73.93,AWRF
6,2021-07-17 06:00:00,D,71.53,114.3,0.1602,0.2,13.85,248.3,1.013,0.0,1015.0,0.0,299.7,1.166,-100.0,1.009,-0.08472,274.8,40.7,-73.93,AWRF
7,2021-07-17 07:00:00,D,51.05,113.2,0.16,0.2,13.85,196.6,1.025,0.0,1014.0,0.0,299.2,1.168,-100.0,1.006,-0.195,281.0,40.7,-73.93,AWRF
8,2021-07-17 08:00:00,D,50.12,114.9,0.1468,0.2,13.86,148.5,0.7868,0.0,1016.0,0.0,298.7,1.171,-100.0,0.7422,-0.2611,289.4,40.7,-73.93,AWRF
9,2021-07-17 09:00:00,E,50.3,71.46,0.1122,0.2,13.88,152.8,0.2588,0.003527,1015.0,0.0,298.5,1.171,-100.0,0.2495,-0.06854,285.4,40.7,-73.93,AWRF
10,2021-07-17 10:00:00,E,50.76,68.54,0.09753,0.2,13.89,150.6,0.02919,2.441,1016.0,0.0,298.5,1.172,-100.0,-0.02733,0.01027,110.6,40.7,-73.93,AWRF
11,2021-07-17 11:00:00,D,97.15,191.3,0.157,0.2,13.9,470.4,0.4776,137.1,1017.0,0.0,299.1,1.171,-100.0,-0.4085,-0.2475,58.79,40.7,-73.93,AWRF
12,2021-07-17 12:00:00,C,196.9,435.0,0.2431,0.2,13.92,1736.0,0.9352,319.6,1017.0,0.0,300.0,1.167,-100.0,-0.8738,-0.3333,69.12,40.7,-73.93,AWRF
13,2021-07-17 13:00:00,C,263.3,583.2,0.2711,0.2,13.92,3121.0,0.8139,506.8,1018.0,0.0,301.2,1.163,-100.0,-0.8137,0.0153,91.08,40.7,-73.93,AWRF
