date,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10
2022-05-14 01:00:00,475.2,264.8,139.9,429.6,56.33,298.8,54.95,429.5,629.5,429.6
2022-05-14 02:00:00,427.5,268.5,142.0,429.6,139.2,169.6,56.33,422.4,429.6,429.0
2022-05-14 03:00:00,299.2,264.8,265.3,429.5,141.5,264.6,137.8,259.2,429.6,391.5
2022-05-14 04:00:00,264.8,264.8,301.1,421.9,239.4,265.2,166.1,264.8,429.6,264.8
2022-05-14 05:00:00,264.8,264.8,428.1,266.8,264.6,297.6,264.8,264.8,427.7,264.7
2022-05-14 06:00:00,264.8,264.8,426.9,388.6,264.6,264.6,264.8,264.8,389.7,260.4
2022-05-14 07:00:00,263.2,264.8,264.8,393.6,264.6,262.6,266.8,264.8,391.3,231.8
2022-05-14 08:00:00,171.0,264.8,264.8,388.1,264.6,144.0,389.9,264.8,428.3,141.4
2022-05-14 09:00:00,264.8,264.8,270.4,386.2,264.6,139.8,422.9,264.8,426.8,233.2
2022-05-14 10:00:00,264.8,264.8,269.3,264.8,264.6,141.9,386.6,264.8,264.8,141.1
2022-05-14 11:00:00,264.8,264.8,429.6,264.9,266.8,267.4,266.8,264.8,266.8,139.9
2022-05-14 12:00:00,264.8,264.8,429.6,273.7,393.0,432.8,391.0,264.8,391.6,142.4
2022-05-14 13:00:00,267.5,267.5,429.6,429.6,429.4,638.2,389.9,267.5,424.7,238.1
2022-05-14 14:00:00,429.6,428.4,429.6,433.0,432.8,878.6,429.6,432.9,429.6,264.8
2022-05-14 15:00:00,429.6,432.2,432.9,638.5,638.1,876.3,436.3,625.2,433.0,267.0
2022-05-14 16:00:00,429.5,587.6,627.8,879.2,874.4,878.8,835.5,642.3,638.5,401.4
2022-05-14 17:00:00,423.3,632.5,638.5,879.2,878.8,883.5,1097.0,1099.0,883.9,638.5
2022-05-14 18:00:00,260.8,587.2,879.2,872.4,883.5,1163.0,1096.0,879.2,1164.0,872.4
2022-05-14 19:00:00,269.0,433.0,879.2,483.8,1163.0,1173.0,1154.0,879.2,1169.0,476.7
2022-05-14 20:00:00,436.3,638.5,883.9,879.2,1159.0,1160.0,873.2,879.1,1489.0,938.3
2022-05-14 21:00:00,429.6,879.2,1164.0,879.2,882.4,962.8,637.2,879.2,1475.0,876.0
2022-05-14 22:00:00,429.6,878.2,1159.0,878.1,1096.0,141.3,877.6,875.1,1159.0,690.7
2022-05-14 23:00:00,429.6,812.8,884.9,812.8,813.3,239.1,865.9,631.0,869.6,631.0
2022-05-15 00:00:00,429.6,482.9,424.8,426.9,308.5,423.1,170.1,424.8,308.0,426.9
2022-05-15 01:00:00,426.9,628.2,144.7,267.5,262.5,57.84,139.9,144.7,417.8,262.6
2022-05-15 02:00:00,264.9,260.1,429.0,426.9,139.8,231.8,139.9,429.6,121.0,137.1
2022-05-15 03:00:00,272.2,258.5,392.9,264.7,139.8,257.0,139.8,429.5,54.95,138.3
2022-05-15 04:00:00,299.0,264.8,264.2,263.1,139.8,139.8,136.4,420.8,54.95,259.0
2022-05-15 05:00:00,307.4,264.7,230.3,163.5,139.8,140.2,139.9,298.6,54.95,260.9
2022-05-15 06:00:00,264.8,264.7,139.9,139.9,139.8,166.3,139.9,264.8,56.37,262.7
2022-05-15 07:00:00,264.8,264.7,141.8,141.5,141.8,166.3,139.9,264.7,139.9,141.9
2022-05-15 08:00:00,262.7,264.7,256.9,232.6,257.7,140.3,141.9,267.5,139.9,260.0
2022-05-15 09:00:00,144.4,263.2,264.7,264.7,264.6,169.1,259.3,429.6,142.0,257.7
2022-05-15 10:00:00,142.0,170.8,264.8,264.8,264.6,264.6,259.1,429.6,264.8,264.8
2022-05-15 11:00:00,264.8,147.2,267.5,264.8,264.6,264.6,264.7,429.6,264.7,264.8
2022-05-15 12:00:00,267.5,266.9,429.6,264.8,267.4,264.8,264.8,429.6,264.8,269.4
2022-05-15 13:00:00,429.6,394.6,429.6,267.5,429.4,280.3,264.8,429.6,267.5,429.6
2022-05-15 14:00:00,429.6,429.6,429.6,432.3,429.4,624.3,266.9,429.6,433.0,429.6
2022-05-15 15:00:00,429.6,433.0,432.1,592.0,436.9,692.3,400.6,433.0,643.2,432.3
2022-05-15 16:00:00,429.7,635.3,583.9,641.9,883.5,1169.0,889.3,638.5,1169.0,604.0
2022-05-15 17:00:00,440.2,691.9,642.9,1086.0,1170.0,1494.0,1495.0,883.7,1495.0,1113.0
