date,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10
2022-05-22 01:00:00,111.5,57.6,358.5,79.37,460.7,467.9,51.15,80.26,970.7,271.0
2022-05-22 02:00:00,141.5,130.7,136.6,65.8,328.2,390.4,52.44,87.25,566.6,436.8
2022-05-22 03:00:00,287.4,910.9,335.7,97.02,330.3,696.4,143.0,228.1,418.0,577.7
2022-05-22 04:00:00,420.7,235.7,407.0,101.4,574.8,763.4,798.9,432.6,377.3,381.9
2022-05-22 05:00:00,142.5,159.0,339.7,122.2,577.7,668.5,478.6,109.4,222.1,354.2
2022-05-22 06:00:00,61.99,207.0,234.6,75.98,447.3,521.4,276.2,52.39,339.7,340.3
2022-05-22 07:00:00,78.72,241.7,168.6,60.01,398.3,406.2,240.8,55.62,347.5,140.3
2022-05-22 08:00:00,168.3,262.0,294.5,82.0,338.8,355.8,346.0,167.7,466.7,275.5
2022-05-22 09:00:00,208.8,292.1,358.7,116.1,365.5,297.3,453.1,222.0,394.8,314.3
2022-05-22 10:00:00,273.6,369.6,302.6,81.1,379.0,405.4,349.6,251.0,380.1,362.7
2022-05-22 11:00:00,261.2,446.9,275.0,147.4,451.0,468.4,351.0,266.8,354.2,343.8
2022-05-22 12:00:00,296.8,422.6,346.7,302.0,463.6,533.3,324.2,311.6,432.4,406.6
2022-05-22 13:00:00,316.2,476.2,415.6,332.2,662.7,578.1,352.0,470.7,496.6,414.2
2022-05-22 14:00:00,419.1,501.1,442.1,498.4,813.2,773.3,862.4,730.7,826.6,524.9
2022-05-22 15:00:00,628.8,483.1,598.0,1053.0,834.6,859.0,1583.0,867.3,1220.0,1033.0
2022-05-22 16:00:00,814.1,541.8,1104.0,1644.0,785.0,1154.0,1966.0,1197.0,2035.0,1656.0
2022-05-22 17:00:00,1104.0,654.2,1758.0,2034.0,1707.0,1755.0,2002.0,1433.0,2415.0,2030.0
2022-05-22 18:00:00,1270.0,854.4,1999.0,2127.0,1677.0,2219.0,2014.0,1652.0,2642.0,1642.0
2022-05-22 19:00:00,1173.0,1172.0,1903.0,2092.0,2109.0,2327.0,2191.0,1823.0,322.0,2066.0
2022-05-22 20:00:00,1059.0,288.0,2140.0,2389.0,227.6,572.5,2443.0,478.8,2198.0,490.8
2022-05-22 21:00:00,1027.0,1581.0,2234.0,882.0,203.1,616.2,805.2,193.8,1759.0,174.0
2022-05-22 22:00:00,268.5,179.3,791.9,625.6,178.0,275.3,539.4,364.7,334.4,309.4
2022-05-22 23:00:00,622.9,295.5,422.9,304.8,155.9,469.9,772.2,479.4,50.56,302.0
2022-05-23 00:00:00,721.8,303.7,69.01,286.9,83.74,78.74,608.6,415.2,88.93,478.4
2022-05-23 01:00:00,604.8,350.6,84.25,559.9,132.4,58.75,312.0,71.83,283.7,413.0
2022-05-23 02:00:00,338.8,577.2,365.4,381.9,617.6,83.15,338.8,376.4,326.6,330.3
2022-05-23 03:00:00,278.4,535.4,220.4,362.2,531.1,91.98,466.5,503.2,470.8,149.1
2022-05-23 04:00:00,321.6,388.4,296.3,315.1,567.6,223.9,471.9,345.8,656.8,175.4
2022-05-23 05:00:00,584.2,667.7,398.5,483.3,397.8,262.9,533.4,386.3,495.1,288.2
2022-05-23 06:00:00,485.2,671.3,334.7,627.8,443.7,381.1,528.5,439.4,472.7,313.8
2022-05-23 07:00:00,550.9,712.8,423.3,541.3,531.8,467.4,521.7,489.2,421.3,378.9
2022-05-23 08:00:00,561.9,532.8,422.4,563.7,524.9,520.2,536.3,467.8,393.9,457.4
2022-05-23 09:00:00,587.4,501.3,436.4,472.0,566.6,497.0,499.2,481.8,453.4,457.5
