date,wrf kmixd=0,wrf kmixd=1
2022-05-01 00:00:00,486.6,687.1
2022-05-01 01:00:00,197.2,306.2
2022-05-01 02:00:00,134.3,129.7
2022-05-01 03:00:00,73.81,129.2
2022-05-01 04:00:00,71.56,101.5
2022-05-01 05:00:00,67.22,82.84
2022-05-01 06:00:00,66.37,82.6
2022-05-01 07:00:00,60.45,69.82
2022-05-01 08:00:00,59.0,69.76
2022-05-01 09:00:00,52.77,66.14
2022-05-01 10:00:00,52.7,70.03
2022-05-01 11:00:00,52.31,84.62
2022-05-01 12:00:00,128.5,189.0
2022-05-01 13:00:00,214.6,284.1
2022-05-01 14:00:00,371.0,432.0
2022-05-01 15:00:00,576.7,621.3
2022-05-01 16:00:00,697.3,787.4
2022-05-01 17:00:00,837.4,969.8
2022-05-01 18:00:00,804.4,936.8
2022-05-01 19:00:00,726.7,935.1
2022-05-01 20:00:00,643.2,820.7
2022-05-01 21:00:00,445.3,597.8
2022-05-01 22:00:00,397.3,531.2
2022-05-01 23:00:00,380.4,565.6
2022-05-02 00:00:00,242.8,394.9
2022-05-02 01:00:00,233.8,308.7
2022-05-02 02:00:00,171.0,276.1
2022-05-02 03:00:00,130.4,183.6
2022-05-02 04:00:00,106.7,151.0
2022-05-02 05:00:00,58.71,128.9
2022-05-02 06:00:00,58.83,81.33
2022-05-02 07:00:00,57.03,94.08
2022-05-02 08:00:00,51.17,82.76
2022-05-02 09:00:00,51.77,70.14
2022-05-02 10:00:00,50.02,90.4
2022-05-02 11:00:00,52.81,177.5
2022-05-02 12:00:00,160.6,210.8
2022-05-02 13:00:00,217.6,291.5
2022-05-02 14:00:00,314.3,352.3
2022-05-02 15:00:00,497.7,639.2
2022-05-02 16:00:00,789.7,992.9
2022-05-02 17:00:00,1129.0,1267.0
2022-05-02 18:00:00,1513.0,1888.0
2022-05-02 19:00:00,1643.0,2029.0
2022-05-02 20:00:00,1610.0,2162.0
2022-05-02 21:00:00,1322.0,2224.0
2022-05-02 22:00:00,1196.0,2131.0
2022-05-02 23:00:00,882.2,1705.0
2022-05-03 00:00:00,499.8,755.7
2022-05-03 01:00:00,87.92,201.1
2022-05-03 02:00:00,51.19,80.9
2022-05-03 03:00:00,52.79,69.82
2022-05-03 04:00:00,62.12,69.82
2022-05-03 05:00:00,55.12,69.82
2022-05-03 06:00:00,58.22,69.82
2022-05-03 07:00:00,50.0,69.82
2022-05-03 08:00:00,50.21,69.82
2022-05-03 09:00:00,63.02,70.14
2022-05-03 10:00:00,87.3,90.88
2022-05-03 11:00:00,52.26,211.1
2022-05-03 12:00:00,187.2,309.2
2022-05-03 13:00:00,274.2,311.2
2022-05-03 14:00:00,461.4,430.6
2022-05-03 15:00:00,576.0,531.7
2022-05-03 16:00:00,633.0,601.2
2022-05-03 17:00:00,728.3,730.3
2022-05-03 18:00:00,706.8,859.4
2022-05-03 19:00:00,640.6,907.6
2022-05-03 20:00:00,820.0,907.6
2022-05-03 21:00:00,727.9,905.9
2022-05-03 22:00:00,699.7,800.0
2022-05-03 23:00:00,541.9,633.9
2022-05-04 00:00:00,399.1,567.3
2022-05-04 01:00:00,329.4,496.8
2022-05-04 02:00:00,287.7,428.3
2022-05-04 03:00:00,272.5,390.6
2022-05-04 04:00:00,242.0,332.2
2022-05-04 05:00:00,210.0,331.1
2022-05-04 06:00:00,209.1,277.6
2022-05-04 07:00:00,178.1,277.6
2022-05-04 08:00:00,183.9,277.1
2022-05-04 09:00:00,164.0,250.0
2022-05-04 10:00:00,171.0,228.4
2022-05-04 11:00:00,145.0,228.4
2022-05-04 12:00:00,186.1,228.7
2022-05-04 13:00:00,188.0,251.1
2022-05-04 14:00:00,212.8,311.2
2022-05-04 15:00:00,382.6,430.1
2022-05-04 16:00:00,466.2,502.1
2022-05-04 17:00:00,684.1,651.9
2022-05-04 18:00:00,562.3,803.2
2022-05-04 19:00:00,672.3,950.4
2022-05-04 20:00:00,925.3,1271.0
2022-05-04 21:00:00,668.9,1533.0
2022-05-04 22:00:00,765.2,1238.0
2022-05-04 23:00:00,584.7,1090.0
2022-05-05 00:00:00,225.9,479.7
2022-05-05 01:00:00,80.34,129.9
2022-05-05 02:00:00,73.79,149.9
2022-05-05 03:00:00,73.61,468.3
2022-05-05 04:00:00,64.98,540.7
2022-05-05 05:00:00,80.32,425.3
2022-05-05 06:00:00,66.09,211.9
2022-05-05 07:00:00,77.47,202.3
2022-05-05 08:00:00,78.85,201.3
2022-05-05 09:00:00,75.58,147.3
2022-05-05 10:00:00,78.76,189.5
2022-05-05 11:00:00,102.2,399.2
2022-05-05 12:00:00,235.5,571.2
2022-05-05 13:00:00,409.3,731.1
2022-05-05 14:00:00,714.5,910.1
2022-05-05 15:00:00,946.3,1055.0
2022-05-05 16:00:00,769.8,1199.0
2022-05-05 17:00:00,879.2,1326.0
2022-05-05 18:00:00,903.2,1267.0
2022-05-05 19:00:00,909.4,1268.0
2022-05-05 20:00:00,1029.0,1324.0
2022-05-05 21:00:00,977.5,1197.0
2022-05-05 22:00:00,868.3,1197.0
2022-05-05 23:00:00,725.2,1191.0
2022-05-06 00:00:00,499.8,883.9
2022-05-06 01:00:00,339.9,597.9
2022-05-06 02:00:00,163.0,537.6
2022-05-06 03:00:00,88.98,273.5
2022-05-06 04:00:00,67.24,185.3
2022-05-06 05:00:00,53.63,163.1
2022-05-06 06:00:00,60.25,128.1
2022-05-06 07:00:00,51.62,109.5
2022-05-06 08:00:00,50.0,109.4
2022-05-06 09:00:00,50.0,110.2
2022-05-06 10:00:00,50.0,162.9
2022-05-06 11:00:00,51.4,205.3
2022-05-06 12:00:00,135.0,332.1
2022-05-06 13:00:00,188.1,333.7
2022-05-06 14:00:00,302.8,429.3
2022-05-06 15:00:00,216.9,457.6
2022-05-06 16:00:00,511.1,569.8
2022-05-06 17:00:00,572.1,647.5
2022-05-06 18:00:00,388.1,653.9
2022-05-06 19:00:00,518.5,653.6
2022-05-06 20:00:00,372.7,625.6
2022-05-06 21:00:00,347.0,504.3
2022-05-06 22:00:00,340.1,503.7
2022-05-06 23:00:00,380.5,459.6
2022-05-07 00:00:00,199.4,428.9
2022-05-07 01:00:00,167.5,428.3
2022-05-07 02:00:00,156.3,389.7
2022-05-07 03:00:00,194.2,309.2
2022-05-07 04:00:00,253.7,309.2
2022-05-07 05:00:00,264.0,309.2
2022-05-07 06:00:00,188.7,309.2
2022-05-07 07:00:00,180.5,309.7
2022-05-07 08:00:00,228.0,342.5
2022-05-07 09:00:00,244.9,428.9
2022-05-07 10:00:00,309.5,429.8
2022-05-07 11:00:00,362.6,487.9
2022-05-07 12:00:00,456.1,568.5
2022-05-07 13:00:00,194.8,569.6
2022-05-07 14:00:00,326.3,634.1
2022-05-07 15:00:00,468.6,635.8
2022-05-07 16:00:00,232.4,728.1
2022-05-07 17:00:00,238.5,728.1
2022-05-07 18:00:00,296.0,728.7
2022-05-07 19:00:00,292.0,762.4
2022-05-07 20:00:00,267.2,809.9
2022-05-07 21:00:00,266.3,848.9
2022-05-07 22:00:00,367.4,801.8
2022-05-07 23:00:00,241.4,785.0
2022-05-08 00:00:00,152.6,728.1
2022-05-08 01:00:00,230.1,729.1
2022-05-08 02:00:00,218.1,784.4
2022-05-08 03:00:00,207.5,685.5
2022-05-08 04:00:00,319.5,686.4
2022-05-08 05:00:00,216.7,727.6
2022-05-08 06:00:00,236.4,697.3
2022-05-08 07:00:00,236.7,620.8
2022-05-08 08:00:00,280.8,654.3
2022-05-08 09:00:00,248.4,569.4
2022-05-08 10:00:00,277.9,622.0
2022-05-08 11:00:00,345.5,728.1
2022-05-08 12:00:00,276.5,728.1
2022-05-08 13:00:00,384.8,730.4
2022-05-08 14:00:00,604.6,868.1
2022-05-08 15:00:00,692.2,907.6
2022-05-08 16:00:00,885.9,911.0
2022-05-08 17:00:00,819.3,1107.0
2022-05-08 18:00:00,939.9,1107.0
2022-05-08 19:00:00,1032.0,1108.0
2022-05-08 20:00:00,1044.0,1165.0
2022-05-08 21:00:00,1010.0,1107.0
2022-05-08 22:00:00,1010.0,1108.0
2022-05-09 00:00:00,647.3,1056.0
2022-05-09 01:00:00,398.4,670.1
2022-05-09 02:00:00,173.9,279.8
2022-05-09 03:00:00,112.9,154.1
2022-05-09 04:00:00,70.81,88.96
2022-05-09 05:00:00,65.88,88.65
2022-05-09 06:00:00,61.91,69.82
2022-05-09 07:00:00,59.03,69.82
2022-05-09 08:00:00,50.0,69.82
2022-05-09 09:00:00,50.04,69.82
2022-05-09 10:00:00,52.6,69.82
2022-05-09 11:00:00,50.72,71.18
2022-05-09 12:00:00,95.72,155.9
2022-05-09 13:00:00,236.0,430.7
2022-05-09 14:00:00,552.8,909.5
2022-05-09 15:00:00,892.2,1018.0
2022-05-09 16:00:00,1007.0,1108.0
2022-05-09 17:00:00,1112.0,1160.0
2022-05-09 18:00:00,1259.0,1380.0
2022-05-09 19:00:00,1301.0,1425.0
2022-05-09 20:00:00,1319.0,1488.0
2022-05-09 21:00:00,1306.0,1424.0
2022-05-09 22:00:00,1132.0,1423.0
2022-05-09 23:00:00,1094.0,1319.0
2022-05-10 00:00:00,398.9,869.4
2022-05-10 01:00:00,117.0,182.4
2022-05-10 02:00:00,74.95,88.63
2022-05-10 03:00:00,76.48,69.82
2022-05-10 04:00:00,58.54,69.82
2022-05-10 05:00:00,50.06,69.76
2022-05-10 06:00:00,53.74,66.06
